Januray,12,,,,,,,,,,,,,,,,,,,,,,,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,
,,,,,,,,,,,,,,,,,,,,,,,,,,813007,649580,,0,6446270,48515,399337,191112,,,,0,6446270,48515
,,,,,,,,,,,,,,,,,,,,,,,,,,809734,646143,,0,6397755,55801,394584,186922,,,,0,6397755,55801
,,,,,,,,,,,,,,,,,,,,,,,,,,806276,642169,,0,6341954,54762,391678,178767,,,,0,6341954,54762
,,,,,,,,,,,,,,,,,,,,,,,,,,802918,618054,,0,6287192,53089,390538,173861,,,,0,6287192,53089
,,,,,,,,,,,,,,,,,,,,,,,,,,799937,613896,,0,6234103,55380,389207,167276,,,,0,6234103,55380
,,,,,,,,,,,,,,,,,,,,,,,,,,796468,611856,,0,6178723,14792,386966,160038,,,,0,6178723,14792
,,,,,,,,,,,,,,,,,,,,,,,,,,795308,609210,,0,6163931,22747,385351,158451,,,,0,6163931,22747
,,,,,,,,,,,,,,,,,,,,,,,,,,793400,605522,,0,6141184,50993,383876,156824,,,,0,6141184,50993
,,,,,,,,,,,,,,,,,,,,,,,,,,790132,600662,,0,6090191,54076,381430,153189,,,,0,6090191,54076
,,,,,,,,,,,,,,,,,,,,,,,,,,786836,594817,,0,6036115,43336,378541,148112,,,,0,6036115,43336
,,,,,,,,,,,,,,,,,,,,,,,,,,784178,590837,,0,5992779,41587,377019,144928,,,,0,5992779,41587
,,,,,,,,,,,,,,,,,,,,,,,,,,781588,585912,,0,5951192,39383,373766,142179,,,,0,5951192,39383
,,,,,,,,,,,,,,,,,,,,,,,,,,778772,581204,,0,5911809,9711,373406,137788,,,,0,5911809,9711
,,,,,,,,,,,,,,,,,,,,,,,,,,777965,577832,,0,5902098,14977,390318,137241,,,,0,5902098,14977
,,,,,,,,,,,,,,,,,,,,,,,,,,776717,573670,,0,5887121,36115,383596,136704,,,,0,5887121,36115
,,,,,,,,,,,,,,,,,,,,,,,,,,774410,568067,,0,5851006,36226,380352,134226,,,,0,5851006,36226
,,,,,,,,,,,,,,,,,,,,,,,,,,772078,564114,,0,5814780,35751,377901,130917,,,,0,5814780,35751
,,,,,,,,,,,,,,,,,,,,,,,,,,769672,558894,,0,5779029,42448,374319,128145,,,,0,5779029,42448
,,,,,,,,,,,,,,,,,,,,,,,,,,767049,553409,,0,5736581,12935,374045,123384,,,,0,5736581,12935
,,,,,,,,,,,,,,,,,,,,,,,,,,766091,543412,,0,5723646,13498,371102,122333,,,,0,5723646,13498
